기준년월,기초지자체,방문자 구분,방문자 수
202201,무안군,현지인방문자(a),1250438.0
202201,무안군,외지인방문자(b),1046202.0
202201,무안군,외국인방문자(c),220.0
202201,무안군,외부방문자(b+c),1046423.0
202201,무안군,전체방문자(a+b+c),2296861.0
202202,무안군,현지인방문자(a),1290944.0
202202,무안군,외지인방문자(b),924903.0
202202,무안군,외국인방문자(c),219.0
202202,무안군,외부방문자(b+c),925122.0
202202,무안군,전체방문자(a+b+c),2216066.0
202203,무안군,현지인방문자(a),1477074.0
202203,무안군,외지인방문자(b),1265604.0
202203,무안군,외국인방문자(c),378.0
202203,무안군,외부방문자(b+c),1265982.0
202203,무안군,전체방문자(a+b+c),2743055.0
202204,무안군,현지인방문자(a),1486016.0
202204,무안군,외지인방문자(b),1217636.0
202204,무안군,외국인방문자(c),427.0
202204,무안군,외부방문자(b+c),1218063.0
202204,무안군,전체방문자(a+b+c),2704079.0
202205,무안군,현지인방문자(a),1511786.0
202205,무안군,외지인방문자(b),1222809.0
202205,무안군,외국인방문자(c),765.0
202205,무안군,외부방문자(b+c),1223574.0
202205,무안군,전체방문자(a+b+c),2735361.0
202206,무안군,현지인방문자(a),1435301.0
202206,무안군,외지인방문자(b),1191152.0
202206,무안군,외국인방문자(c),1081.0
202206,무안군,외부방문자(b+c),1192232.0
202206,무안군,전체방문자(a+b+c),2627533.0
202207,무안군,현지인방문자(a),1546808.0
202207,무안군,외지인방문자(b),1592924.0
202207,무안군,외국인방문자(c),918.0
202207,무안군,외부방문자(b+c),1593842.0
202207,무안군,전체방문자(a+b+c),3140649.0
202208,무안군,현지인방문자(a),1465716.0
202208,무안군,외지인방문자(b),1268743.0
202208,무안군,외국인방문자(c),229.0
202208,무안군,외부방문자(b+c),1268972.0
202208,무안군,전체방문자(a+b+c),2734688.0
202209,무안군,현지인방문자(a),1689401.0
202209,무안군,외지인방문자(b),1499802.0
202209,무안군,외국인방문자(c),124.0
202209,무안군,외부방문자(b+c),1499926.0
202209,무안군,전체방문자(a+b+c),3189327.0
202210,무안군,현지인방문자(a),1744736.0
202210,무안군,외지인방문자(b),1390942.0
202210,무안군,외국인방문자(c),141.0
202210,무안군,외부방문자(b+c),1391083.0
202210,무안군,전체방문자(a+b+c),3135819.0
202211,무안군,현지인방문자(a),1812136.0
202211,무안군,외지인방문자(b),1214944.0
202211,무안군,외국인방문자(c),135.0
202211,무안군,외부방문자(b+c),1215079.0
202211,무안군,전체방문자(a+b+c),3027215.0
202212,무안군,현지인방문자(a),1776061.0
202212,무안군,외지인방문자(b),1118596.0
202212,무안군,외국인방문자(c),109.0
202212,무안군,외부방문자(b+c),1118706.0
202212,무안군,전체방문자(a+b+c),2894767.0
