기준년월,기초지자체,방문자 구분,방문자 수
202001,무안군,현지인방문자(a),920342.0
202001,무안군,외지인방문자(b),1118278.0
202001,무안군,외국인방문자(c),635.0
202001,무안군,외부방문자(b+c),1118913.0
202001,무안군,전체방문자(a+b+c),2039255.0
202002,무안군,현지인방문자(a),874122.0
202002,무안군,외지인방문자(b),850479.0
202002,무안군,외국인방문자(c),468.0
202002,무안군,외부방문자(b+c),850947.0
202002,무안군,전체방문자(a+b+c),1725068.0
202003,무안군,현지인방문자(a),856516.0
202003,무안군,외지인방문자(b),905950.0
202003,무안군,외국인방문자(c),365.0
202003,무안군,외부방문자(b+c),906316.0
202003,무안군,전체방문자(a+b+c),1762832.0
202004,무안군,현지인방문자(a),847780.0
202004,무안군,외지인방문자(b),924616.0
202004,무안군,외국인방문자(c),266.0
202004,무안군,외부방문자(b+c),924882.0
202004,무안군,전체방문자(a+b+c),1772663.0
202005,무안군,현지인방문자(a),971856.0
202005,무안군,외지인방문자(b),1150198.0
202005,무안군,외국인방문자(c),336.0
202005,무안군,외부방문자(b+c),1150534.0
202005,무안군,전체방문자(a+b+c),2122389.0
202006,무안군,현지인방문자(a),1001066.0
202006,무안군,외지인방문자(b),1025563.0
202006,무안군,외국인방문자(c),230.0
202006,무안군,외부방문자(b+c),1025793.0
202006,무안군,전체방문자(a+b+c),2026860.0
202007,무안군,현지인방문자(a),981960.0
202007,무안군,외지인방문자(b),980578.0
202007,무안군,외국인방문자(c),275.0
202007,무안군,외부방문자(b+c),980853.0
202007,무안군,전체방문자(a+b+c),1962813.0
202008,무안군,현지인방문자(a),947684.0
202008,무안군,외지인방문자(b),1117319.0
202008,무안군,외국인방문자(c),393.0
202008,무안군,외부방문자(b+c),1117712.0
202008,무안군,전체방문자(a+b+c),2065397.0
202009,무안군,현지인방문자(a),1008777.0
202009,무안군,외지인방문자(b),1035422.0
202009,무안군,외국인방문자(c),465.0
202009,무안군,외부방문자(b+c),1035888.0
202009,무안군,전체방문자(a+b+c),2044665.0
202010,무안군,현지인방문자(a),1033924.0
202010,무안군,외지인방문자(b),1241730.0
202010,무안군,외국인방문자(c),332.0
202010,무안군,외부방문자(b+c),1242062.0
202010,무안군,전체방문자(a+b+c),2275986.0
202011,무안군,현지인방문자(a),1087748.0
202011,무안군,외지인방문자(b),978173.0
202011,무안군,외국인방문자(c),424.0
202011,무안군,외부방문자(b+c),978596.0
202011,무안군,전체방문자(a+b+c),2066344.0
202012,무안군,현지인방문자(a),1068680.0
202012,무안군,외지인방문자(b),969440.0
202012,무안군,외국인방문자(c),474.0
202012,무안군,외부방문자(b+c),969915.0
202012,무안군,전체방문자(a+b+c),2038594.0
