기준년월,기초지자체,방문자 구분,방문자 수
201901,무안군,현지인방문자(a),926086.0
201901,무안군,외지인방문자(b),947538.0
201901,무안군,외국인방문자(c),2132.0
201901,무안군,외부방문자(b+c),949669.0
201901,무안군,전체방문자(a+b+c),1875755.0
201902,무안군,현지인방문자(a),781627.0
201902,무안군,외지인방문자(b),1033350.0
201902,무안군,외국인방문자(c),3024.0
201902,무안군,외부방문자(b+c),1036375.0
201902,무안군,전체방문자(a+b+c),1818002.0
201903,무안군,현지인방문자(a),957789.0
201903,무안군,외지인방문자(b),1312752.0
201903,무안군,외국인방문자(c),4689.0
201903,무안군,외부방문자(b+c),1317441.0
201903,무안군,전체방문자(a+b+c),2275230.0
201904,무안군,현지인방문자(a),874114.0
201904,무안군,외지인방문자(b),1022976.0
201904,무안군,외국인방문자(c),6947.0
201904,무안군,외부방문자(b+c),1029924.0
201904,무안군,전체방문자(a+b+c),1904038.0
201905,무안군,현지인방문자(a),1056958.0
201905,무안군,외지인방문자(b),1125712.0
201905,무안군,외국인방문자(c),7103.0
201905,무안군,외부방문자(b+c),1132815.0
201905,무안군,전체방문자(a+b+c),2189773.0
201906,무안군,현지인방문자(a),1056912.0
201906,무안군,외지인방문자(b),1110487.0
201906,무안군,외국인방문자(c),5558.0
201906,무안군,외부방문자(b+c),1116045.0
201906,무안군,전체방문자(a+b+c),2172958.0
201907,무안군,현지인방문자(a),926132.0
201907,무안군,외지인방문자(b),1104362.0
201907,무안군,외국인방문자(c),5243.0
201907,무안군,외부방문자(b+c),1109605.0
201907,무안군,전체방문자(a+b+c),2035736.0
201908,무안군,현지인방문자(a),946603.0
201908,무안군,외지인방문자(b),1159022.0
201908,무안군,외국인방문자(c),5852.0
201908,무안군,외부방문자(b+c),1164874.0
201908,무안군,전체방문자(a+b+c),2111477.0
201909,무안군,현지인방문자(a),948896.0
201909,무안군,외지인방문자(b),1301454.0
201909,무안군,외국인방문자(c),5972.0
201909,무안군,외부방문자(b+c),1307426.0
201909,무안군,전체방문자(a+b+c),2256321.0
201910,무안군,현지인방문자(a),997185.0
201910,무안군,외지인방문자(b),1121726.0
201910,무안군,외국인방문자(c),4829.0
201910,무안군,외부방문자(b+c),1126554.0
201910,무안군,전체방문자(a+b+c),2123739.0
201911,무안군,현지인방문자(a),1029091.0
201911,무안군,외지인방문자(b),1067528.0
201911,무안군,외국인방문자(c),3896.0
201911,무안군,외부방문자(b+c),1071424.0
201911,무안군,전체방문자(a+b+c),2100515.0
201912,무안군,현지인방문자(a),1060588.0
201912,무안군,외지인방문자(b),1066191.0
201912,무안군,외국인방문자(c),3989.0
201912,무안군,외부방문자(b+c),1070180.0
201912,무안군,전체방문자(a+b+c),2130768.0
