기준년월,기초지자체,방문자 구분,방문자 수
202101,무안군,현지인방문자(a),1075333.0
202101,무안군,외지인방문자(b),868945.0
202101,무안군,외국인방문자(c),148.0
202101,무안군,외부방문자(b+c),869093.0
202101,무안군,전체방문자(a+b+c),1944426.0
202102,무안군,현지인방문자(a),994010.0
202102,무안군,외지인방문자(b),985078.0
202102,무안군,외국인방문자(c),173.0
202102,무안군,외부방문자(b+c),985251.0
202102,무안군,전체방문자(a+b+c),1979262.0
202103,무안군,현지인방문자(a),1203842.0
202103,무안군,외지인방문자(b),1226228.0
202103,무안군,외국인방문자(c),491.0
202103,무안군,외부방문자(b+c),1226720.0
202103,무안군,전체방문자(a+b+c),2430562.0
202104,무안군,현지인방문자(a),1183329.0
202104,무안군,외지인방문자(b),1143478.0
202104,무안군,외국인방문자(c),371.0
202104,무안군,외부방문자(b+c),1143849.0
202104,무안군,전체방문자(a+b+c),2327178.0
202105,무안군,현지인방문자(a),1343576.0
202105,무안군,외지인방문자(b),1213698.0
202105,무안군,외국인방문자(c),227.0
202105,무안군,외부방문자(b+c),1213925.0
202105,무안군,전체방문자(a+b+c),2557502.0
202106,무안군,현지인방문자(a),1386798.0
202106,무안군,외지인방문자(b),1120732.0
202106,무안군,외국인방문자(c),221.0
202106,무안군,외부방문자(b+c),1120953.0
202106,무안군,전체방문자(a+b+c),2507751.0
202107,무안군,현지인방문자(a),1345424.0
202107,무안군,외지인방문자(b),1123724.0
202107,무안군,외국인방문자(c),170.0
202107,무안군,외부방문자(b+c),1123894.0
202107,무안군,전체방문자(a+b+c),2469319.0
202108,무안군,현지인방문자(a),1321198.0
202108,무안군,외지인방문자(b),1147920.0
202108,무안군,외국인방문자(c),236.0
202108,무안군,외부방문자(b+c),1148156.0
202108,무안군,전체방문자(a+b+c),2469353.0
202109,무안군,현지인방문자(a),1350282.0
202109,무안군,외지인방문자(b),1302147.0
202109,무안군,외국인방문자(c),283.0
202109,무안군,외부방문자(b+c),1302430.0
202109,무안군,전체방문자(a+b+c),2652712.0
202110,무안군,현지인방문자(a),1399839.0
202110,무안군,외지인방문자(b),1295886.0
202110,무안군,외국인방문자(c),451.0
202110,무안군,외부방문자(b+c),1296336.0
202110,무안군,전체방문자(a+b+c),2696175.0
202111,무안군,현지인방문자(a),1371328.0
202111,무안군,외지인방문자(b),1099214.0
202111,무안군,외국인방문자(c),310.0
202111,무안군,외부방문자(b+c),1099524.0
202111,무안군,전체방문자(a+b+c),2470852.0
202112,무안군,현지인방문자(a),1344434.0
202112,무안군,외지인방문자(b),1027982.0
202112,무안군,외국인방문자(c),264.0
202112,무안군,외부방문자(b+c),1028245.0
202112,무안군,전체방문자(a+b+c),2372679.0
